STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,AGG_METHOD,AGG_METHOD_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,COMMENT_OBS,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AZE,Azerbaijan,WB_SSGD_CO2_EMISSIONS,CO2 emissions,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,T_CO2E_PS,Tonnes of CO2-equivalent per person,_T,Total,_T,Total,_Z,Not Applicable,2018,3.2926411628723145,_Z,Not Applicable,WB_SSGD,Social sustainability global database,0,Units,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AZE,Azerbaijan,WB_SSGD_CO2_EMISSIONS,CO2 emissions,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,T_CO2E_PS,Tonnes of CO2-equivalent per person,_T,Total,_T,Total,_Z,Not Applicable,2020,3.3988494873046875,_Z,Not Applicable,WB_SSGD,Social sustainability global database,0,Units,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BHR,Bahrain,WB_SSGD_CO2_EMISSIONS,CO2 emissions,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,T_CO2E_PS,Tonnes of CO2-equivalent per person,_T,Total,_T,Total,_Z,Not Applicable,2018,20.737960815429688,_Z,Not Applicable,WB_SSGD,Social sustainability global database,0,Units,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BHR,Bahrain,WB_SSGD_CO2_EMISSIONS,CO2 emissions,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,T_CO2E_PS,Tonnes of CO2-equivalent per person,_T,Total,_T,Total,_Z,Not Applicable,2020,21.97690773010254,_Z,Not Applicable,WB_SSGD,Social sustainability global database,0,Units,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BGD,Bangladesh,WB_SSGD_CO2_EMISSIONS,CO2 emissions,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,T_CO2E_PS,Tonnes of CO2-equivalent per person,_T,Total,_T,Total,_Z,Not Applicable,2020,0.5106475353240967,_Z,Not Applicable,WB_SSGD,Social sustainability global database,0,Units,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BGD,Bangladesh,WB_SSGD_CO2_EMISSIONS,CO2 emissions,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,T_CO2E_PS,Tonnes of CO2-equivalent per person,_T,Total,_T,Total,_Z,Not Applicable,2018,0.5861576199531555,_Z,Not Applicable,WB_SSGD,Social sustainability global database,0,Units,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BRB,Barbados,WB_SSGD_CO2_EMISSIONS,CO2 emissions,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,T_CO2E_PS,Tonnes of CO2-equivalent per person,_T,Total,_T,Total,_Z,Not Applicable,2018,4.5413818359375,_Z,Not Applicable,WB_SSGD,Social sustainability global database,0,Units,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BRB,Barbados,WB_SSGD_CO2_EMISSIONS,CO2 emissions,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,T_CO2E_PS,Tonnes of CO2-equivalent per person,_T,Total,_T,Total,_Z,Not Applicable,2020,3.904871225357056,_Z,Not Applicable,WB_SSGD,Social sustainability global database,0,Units,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BLR,Belarus,WB_SSGD_CO2_EMISSIONS,CO2 emissions,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,T_CO2E_PS,Tonnes of CO2-equivalent per person,_T,Total,_T,Total,_Z,Not Applicable,2020,5.8424072265625,_Z,Not Applicable,WB_SSGD,Social sustainability global database,0,Units,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BLR,Belarus,WB_SSGD_CO2_EMISSIONS,CO2 emissions,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,T_CO2E_PS,Tonnes of CO2-equivalent per person,_T,Total,_T,Total,_Z,Not Applicable,2018,6.279579639434815,_Z,Not Applicable,WB_SSGD,Social sustainability global database,0,Units,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
